project_id,title,url,country,sector,status,approval_year,scraped_at
59251-001,Municipal Hospital Development Project,https://www.adb.org/projects/59251-001/main,Timor-Leste,Health,Proposed,2026,2025-12-14T12:14:50.713479
56172-002,South Asia Subregional Economic Cooperation Dhirasram Inland Container Depot Project,https://www.adb.org/projects/56172-002/main,Bangladesh,Transport,Proposed,2026,2025-12-14T12:14:50.713565
59206-001,Fresh Food Marketing System Project,https://www.adb.org/projects/59206-001/main,Papua New Guinea,"Agriculture, natural resources and rural development",Proposed,2026,2025-12-14T12:14:50.713650
59331-001,Skills Development System Transformation Program,https://www.adb.org/projects/59331-001/main,Kyrgyz Republic,Education,Proposed,2026,2025-12-14T12:14:50.713734
50240-003,Tina River Hydropower Project - Additional Financing,https://www.adb.org/projects/50240-003/main,Solomon Islands,Energy,Proposed,2026,2025-12-14T12:14:50.713822
59265-002,Gariuai Mini-Hydropower Rehabilitation Project,https://www.adb.org/projects/59265-002/main,Timor-Leste,Energy,Proposed,2026,2025-12-14T12:14:50.713909
59345-001,Skills for Future Economy Sector Development Program (additional financing),https://www.adb.org/projects/59345-001/main,Cambodia,Education,Proposed,2026,2025-12-14T12:14:50.713995
59337-001,Promoting Resilience and Opportunity for Inclusive Recovery Sector Development Program,https://www.adb.org/projects/59337-001/main,Sri Lanka,Public sector management,Proposed,2026,2025-12-14T12:14:50.714081
59194-001,"Trade, Investment, and Industry Development Program- Subprogram 1",https://www.adb.org/projects/59194-001/main,Sri Lanka,Industry and trade,Proposed,2026,2025-12-14T12:14:50.714165
59329-001,"Azerbaijan Railways Electrification, Signaling and Telecommunication Project (Bilajari-Yalama)",https://www.adb.org/projects/59329-001/main,Azerbaijan,Transport,Proposed,2026,2025-12-14T12:14:50.714251
58464-001,Accelerated Implementation of Government Energy Efficient Projects,https://www.adb.org/projects/58464-001/main,Philippines,Energy,Proposed,2026,2025-12-14T12:14:50.714335
58460-001,Transforming Higher Education and Research for Industry Value Enhancement (THRIVE) Program,https://www.adb.org/projects/58460-001/main,India,Education,Proposed,2026,2025-12-14T12:14:50.714419
59011-001,Social Insurance System Modernization and Digitalization Project,https://www.adb.org/projects/59011-001/main,Tajikistan,Public sector management,Proposed,2026,2025-12-14T12:14:50.714504
59217-001,Inclusive and Resilient Urban Development Project,https://www.adb.org/projects/59217-001/main,Bhutan,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:50.714588
58358-001,Seismic Safety Improvement Program 3,https://www.adb.org/projects/58358-001/main,Armenia,Water and other urban infrastructure and services,Proposed,2026,2025-12-14T12:14:50.714673
59125-001,Strengthening Karnataka Public Schools Program,https://www.adb.org/projects/59125-001/main,India,Education,Proposed,2026,2025-12-14T12:14:50.714759
51131-001,Naulong Integrated Water Resources Development Project,https://www.adb.org/projects/51131-001/main,Pakistan,"Agriculture, natural resources and rural development",Proposed,2026,2025-12-14T12:14:50.714843
